% Model:              prototipo thgem_Garfield_2_1_light_3.mph
% Version:            COMSOL 5.1.0.234
% Date:               Sep 30 2020, 18:40
% Dimension:          3
% Nodes:              14326
% Expressions:        1
% Description:        Electric potential
% Length unit:        mm
% x             y              z              V (V)
0.052362        0.019573       0.63022        -177.30
0.070000        -0.0093782     0.62442        -176.95
0.052362        -0.0093782     0.64405        -178.15
0.070000        -0.0093782     0.58982        -174.83
0.052362        -0.0093782     0.60946        -176.03
0.070000        0.019573       0.64518        -178.22
0.070000        0.019573       0.61058        -176.10
0.052460        0.0058168      0.58862        -174.75
0.034821        0.0058168      0.60825        -175.96
0.052460        0.034768       0.60938        -176.03
0.034919        0.021012       0.58741        -174.68
0.036005        0.11187        0.64192        -178.02
0.035777        0.11187        0.67077        -179.79
0.018003        0.11187        0.65052        -178.55
0.018003        0.082260       0.66939        -179.71
0.018003        0.081733       0.63523        -177.61
-1.8670E-18     0.081733       0.64384        -178.14
0.053003        0.080195       0.63663        -177.70
0.053003        0.080921       0.67021        -179.76
0.052775        0.11187        0.68432        -180.63
0.070000        0.11187        0.66903        -179.69
0.070000        0.11187        0.70261        -181.75
0.070000        0.080921       0.68376        -180.59
0.053003        0.11187        0.65547        -178.85
0.070000        0.080195       0.65018        -178.53
0.0000          0.11187        0.58996        -174.83
0.018003        0.11187        0.61594        -176.43
0.0000          0.11187        0.62455        -176.96
-1.8670E-18     0.081733       0.60925        -176.02
0.0000          -0.0093782     0.63501        -177.60
0.017362        -0.0093782     0.61524        -176.39
0.0000          -0.0093782     0.60139        -175.54
-1.8670E-18     0.021111       0.61497        -176.37
0.017460        0.0058168      0.59440        -175.11
0.017460        0.036306       0.60798        -175.94
0.034665        -0.0093782     0.56102        -173.06
0.034694        -0.0093782     0.59506        -175.15
0.052332        -0.0093782     0.57542        -173.94
0.034792        0.0058168      0.57422        -173.87
0.017332        -0.0093782     0.58121        -174.30
-1.8942E-18     0.021557       0.58113        -174.29
-3.7884E-18     0.052492       0.56086        -173.05
-3.7612E-18     0.052046       0.59470        -175.13
0.017460        0.036752       0.57414        -173.86
0.017332        0.021557       0.56094        -173.05
0.070000        -0.0093782     0.55522        -172.70
0.070000        -0.0093782     0.52063        -170.58
0.052332        -0.0093782     0.54083        -171.82
0.070000        0.019457       0.57653        -174.01
0.070000        0.019457       0.54193        -171.89
0.052332        0.019457       0.56213        -173.13
0.070000        0.048293       0.56324        -173.19
0.035000        0.049947       0.59589        -175.20
0.035000        0.050393       0.56205        -173.12
0.052460        0.034653       0.57532        -173.94
0.035000        0.080079       0.57660        -174.01
-1.8942E-18     0.082179       0.57541        -173.94
0.070000        0.048409       0.59729        -175.28
0.052464        0.010362       0.52479        -170.83
0.034797        0.010362       0.54499        -172.07
0.052464        0.039198       0.54609        -172.14
0.034929        0.030102       0.52895        -171.09
0.034923        0.11187        0.54815        -172.27
0.052462        0.080079       0.55569        -172.73
0.017462        0.11187        0.56906        -173.55
0.017462        0.082179       0.55451        -172.66
0.070000        0.080079       0.58255        -174.38
0.035000        0.11187        0.59591        -175.20
0.035000        0.081733       0.61520        -176.38
0.070000        0.11187        0.60186        -175.56
0.053003        0.11187        0.62189        -176.79
0.070000        0.080195       0.61660        -176.47
0.052462        0.11187        0.57501        -173.92
0.070000        0.11187        0.63544        -177.63
0.0000          0.11187        0.52079        -170.59
0.017462        0.11187        0.53447        -171.43
